Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
1,Landon Collins,NYG,SS,16,100,25,9.5,4.0,39.0,5,13,5,0,1,1,11.0,175.9,2016
2,Kwon Alexander,TB,ILB,16,108,37,11.5,3.0,8.0,7,8,1,1,1,1,10.9,174.8,2016
3,Bobby Wagner,SEA,ILB,16,86,83,8.5,4.5,27.0,16,3,1,0,1,0,10.8,172.7,2016
4,Khalil Mack,OAK,OLB,16,54,19,17.5,11.0,63.0,27,3,1,4,3,1,10.6,169.3,2016
5,Zach Brown,BUF,ILB,16,95,52,11.0,4.0,17.0,7,4,1,2,0,0,10.1,161.7,2016
6,Alec Ogletree,LAR,ILB,16,98,37,9.5,0.0,0.0,3,11,2,1,1,0,9.5,152.0,2016
7,Christian Kirksey,CLE,OLB,16,94,50,11.5,2.5,16.0,7,3,0,0,0,0,9.2,147.1,2016
8,Lavonte David,TB,OLB,16,67,20,17.0,5.0,39.0,8,3,1,4,2,1,9.1,145.9,2016
9,Von Miller,DEN,OLB,16,61,16,13.5,12.5,63.0,23,3,0,2,0,0,9.1,145.8,2016
10,Telvin Smith,JAX,OLB,16,98,20,14.5,1.0,0.0,2,8,2,0,1,0,9.0,143.5,2016
11,Benardrick McKinney,HOU,ILB,16,79,50,8.0,5.0,31.0,11,2,0,1,0,0,8.8,141.1,2016
12,Zach Orr,BAL,ILB,15,89,41,6.5,0.0,0.0,1,5,3,1,2,0,9.3,140.0,2016
13,Vic Beasley,ATL,DE,16,32,7,14.0,15.5,93.0,19,3,0,6,1,1,8.7,138.8,2016
14,KJ Wright,SEA,OLB,16,72,54,12.5,4.0,7.0,7,5,0,1,1,0,8.6,138.2,2016
15,Markus Golden,ARI,OLB,16,41,10,16.5,12.5,100.5,24,1,0,4,1,0,8.6,137.55,2016
16,Sean Lee,DAL,OLB,15,92,52,13.5,0.0,0.0,2,1,0,0,1,0,9.2,137.5,2016
17,Paul Posluszny,JAX,ILB,16,96,36,9.0,1.5,17.0,3,3,1,0,0,0,8.5,136.7,2016
18,Thomas Davis,CAR,OLB,16,73,33,7.0,2.5,16.5,5,4,3,1,2,1,8.5,136.15,2016
19,Kiko Alonso,MIA,OLB,15,69,45,6.0,0.0,0.0,6,4,2,1,4,1,9.0,134.5,2016
20,Lorenzo Alexander,BUF,OLB,16,50,14,9.5,12.5,74.0,20,6,1,2,0,0,8.4,133.9,2016
21,Eric Kendricks,MIN,ILB,15,70,39,9.5,2.5,25.5,4,8,1,1,1,1,8.9,133.55,2016
22,Mark Barron,LAR,ILB,16,90,27,7.0,1.0,8.0,3,8,2,0,1,0,8.3,133.3,2016
23,Lawrence Timmons,PIT,OLB,16,78,36,5.5,2.5,22.0,10,5,2,1,0,0,8.3,132.7,2016
24,Calais Campbell,ARI,DE,16,34,19,14.0,8.0,67.5,20,6,1,2,3,1,8.3,132.25,2016
25,Deion Jones,ATL,ILB,15,75,31,5.0,0.0,0.0,1,11,3,1,0,2,8.8,131.5,2016
26,Chandler Jones,ARI,DE,16,38,11,17.0,11.0,85.5,19,3,0,4,2,0,8.2,131.05,2016
27,Jamie Collins,CLE,OLB,15,79,32,6.5,3.0,25.0,6,3,2,2,0,0,8.7,131.0,2016
28,Jonathan Cyprien,JAX,SS,16,97,31,3.5,1.0,2.0,2,4,0,1,1,0,8.1,130.2,2016
29,Preston Brown,BUF,ILB,16,77,59,8.0,1.0,5.0,3,1,0,1,2,0,8.1,130.0,2016
30,Ryan Shazier,PIT,ILB,13,55,32,11.0,3.5,29.0,7,9,3,3,1,0,9.9,128.9,2016
31,Mason Foster,WAS,ILB,16,88,36,8.0,1.0,1.0,5,4,0,1,0,0,8.0,128.1,2016
32,Melvin Ingram,LAC,DE,16,46,14,10.0,8.0,62.0,19,5,0,6,0,0,8.0,127.2,2016
32,Bruce Irvin,OAK,DE,16,47,10,10.5,7.0,37.0,25,1,0,7,0,0,8.0,127.2,2016
34,Danielle Hunter,MIN,DE,16,33,22,12.5,12.5,102.5,20,1,0,1,1,1,7.9,126.75,2016
35,Tony Jefferson,ARI,SS,15,76,18,13.0,2.0,15.0,4,5,0,2,2,0,8.3,124.5,2016
36,Tahir Whitehead,DET,OLB,15,99,33,3.0,0.0,0.0,0,5,0,0,0,0,8.2,123.5,2016
37,Aaron Donald,LAR,DT,16,36,11,18.5,8.0,54.0,31,5,0,2,0,0,7.7,123.4,2016
38,Olivier Vernon,NYG,DE,16,46,18,17.0,8.5,52.5,23,0,0,1,1,0,7.7,123.25,2016
39,Cameron Jordan,NO,DE,16,40,18,18.0,7.5,51.5,23,6,0,1,0,0,7.4,119.15,2016
40,Everson Griffen,MIN,DE,16,36,12,9.0,8.0,71.0,23,1,0,2,3,1,7.4,119.1,2016
41,Craig Robertson,NO,OLB,15,69,44,6.0,1.0,6.0,6,4,1,0,2,0,7.9,118.6,2016
42,Nigel Bradham,PHI,OLB,16,67,32,11.5,2.0,16.0,3,6,1,1,1,0,7.4,118.1,2016
42,Vontaze Burfict,CIN,OLB,11,73,28,5.0,2.0,11.0,4,8,2,1,0,0,10.7,118.1,2016
44,Antoine Bethea,SF,SS,16,95,15,2.0,0.0,0.0,1,3,1,1,1,0,7.3,117.5,2016
45,Jerrell Freeman,CHI,ILB,12,87,24,7.0,0.0,0.0,2,5,0,1,0,0,9.7,116.0,2016
46,Luke Kuechly,CAR,ILB,10,71,31,7.5,2.0,16.0,4,6,1,1,0,0,11.6,115.6,2016
47,Karlos Dansby,CIN,ILB,16,69,45,10.0,1.0,0.0,3,6,0,0,1,0,7.2,115.5,2016
48,Malcolm Smith,OAK,OLB,15,86,18,3.0,0.0,0.0,2,3,1,2,1,0,7.7,115.0,2016
49,Jason Pierre-Paul,NYG,DE,12,35,18,9.5,7.0,43.5,17,8,0,3,1,1,9.6,114.85,2016
50,Whitney Mercilus,HOU,OLB,15,35,16,12.5,7.5,56.5,22,1,0,1,4,0,7.6,114.15,2016
51,Kurt Coleman,CAR,SS,15,65,30,1.0,1.0,8.0,2,7,4,1,0,1,7.6,113.8,2016
52,Keanu Neal,ATL,FS,14,72,32,2.0,0.0,0.0,0,8,0,4,1,0,8.1,113.0,2016
53,TJ Ward,DEN,SS,14,69,18,1.0,1.0,8.0,5,8,1,3,2,0,8.1,112.8,2016
54,Morgan Burnett,GB,FS,15,67,23,3.0,3.0,26.0,4,9,2,0,1,0,7.5,112.1,2016
55,Jordan Hicks,PHI,ILB,16,57,28,4.5,1.0,3.0,5,11,5,0,1,0,7.0,111.8,2016
56,Carlos Dunlap,CIN,DE,16,30,19,6.0,8.0,46.0,21,15,0,3,0,0,6.9,111.1,2016
57,Brandon Graham,PHI,DE,16,41,18,15.0,5.5,27.5,22,1,0,2,1,0,6.9,110.75,2016
58,Logan Ryan,NE,CB,16,73,19,2.0,1.0,12.0,3,11,2,1,0,0,6.9,110.7,2016
59,Cliff Avril,SEA,DE,16,20,19,9.5,11.5,83.5,25,3,0,4,0,0,6.9,110.35,2016
60,Cameron Wake,MIA,OLB,16,22,7,8.5,11.5,90.0,24,2,1,5,0,0,6.9,110.0,2016
