TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential,Year
Chiefs,35.3,565.0,996.0,6810.0,6.8,384.0,83.0,176.0,47.2,51.0,71.0,71.8,137.0,1152.0,29:11,9.0,2018.0
Rams,32.9,527.0,1060.0,6738.0,6.4,401.0,86.0,191.0,45.0,46.0,80.0,57.5,96.0,878.0,31:42,11.0,2018.0
Buccaneers,24.8,396.0,1055.0,6648.0,6.3,388.0,86.0,187.0,46.0,36.0,60.0,60.0,117.0,975.0,30:30,-18.0,2018.0
Steelers,26.8,428.0,1058.0,6453.0,6.1,378.0,88.0,198.0,44.4,36.0,49.0,73.5,111.0,1026.0,31:00,-11.0,2018.0
Patriots,27.2,436.0,1073.0,6295.0,5.9,365.0,82.0,201.0,40.8,34.0,57.0,59.6,93.0,744.0,31:05,10.0,2018.0
Falcons,25.9,414.0,1010.0,6226.0,6.2,352.0,92.0,203.0,45.3,32.0,50.0,64.0,101.0,899.0,30:36,1.0,2018.0
Colts,27.1,433.0,1070.0,6179.0,5.8,371.0,104.0,214.0,48.6,44.0,64.0,68.8,120.0,953.0,30:05,2.0,2018.0
Saints,31.5,504.0,1010.0,6067.0,6.0,377.0,82.0,184.0,44.6,48.0,69.0,69.6,94.0,939.0,32:53,8.0,2018.0
Ravens,24.3,389.0,1135.0,5999.0,5.3,367.0,104.0,231.0,45.0,33.0,59.0,55.9,116.0,940.0,33:54,-3.0,2018.0
Panthers,23.5,376.0,1011.0,5972.0,5.9,356.0,77.0,185.0,41.6,36.0,58.0,62.1,92.0,818.0,31:44,1.0,2018.0
Chargers,26.8,428.0,945.0,5962.0,6.3,338.0,70.0,177.0,39.5,34.0,53.0,64.2,113.0,967.0,31:43,1.0,2018.0
Packers,23.5,376.0,1026.0,5905.0,5.8,332.0,75.0,204.0,36.8,29.0,47.0,61.7,108.0,937.0,30:03,0.0,2018.0
Browns,22.4,359.0,1023.0,5900.0,5.8,314.0,73.0,208.0,35.1,32.0,48.0,66.7,112.0,894.0,29:29,7.0,2018.0
Eagles,22.9,367.0,1037.0,5845.0,5.6,346.0,84.0,205.0,41.0,33.0,57.0,57.9,100.0,852.0,33:39,-6.0,2018.0
Texans,25.1,402.0,1040.0,5802.0,5.6,333.0,77.0,208.0,37.0,30.0,60.0,50.0,105.0,787.0,31:46,13.0,2018.0
49ers,21.4,342.0,1003.0,5769.0,5.8,344.0,73.0,193.0,37.8,21.0,51.0,41.2,112.0,982.0,30:55,-25.0,2018.0
