Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
1.0,Tyreek Hill,KC,WR,16.0,137.0,87.0,63.5,1479.0,12.0,75.0,10.8,17.0,22.0,151.0,6.9,1.0,0.0,0.0,15.1,241.0,2018.0,Receiving
2.0,Antonio Brown,PIT,WR,15.0,168.0,104.0,61.9,1297.0,15.0,78.0,7.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,14.6,219.7,2018.0,Receiving
3.0,Davante Adams,GB,WR,15.0,169.0,111.0,65.7,1386.0,13.0,57.0,8.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,14.6,218.6,2018.0,Receiving
4.0,DeAndre Hopkins,HOU,WR,16.0,163.0,115.0,70.6,1572.0,11.0,49.0,9.6,13.7,1.0,-7.0,-7.0,0.0,2.0,2.0,13.7,218.5,2018.0,Receiving
5.0,Julio Jones,ATL,WR,16.0,170.0,113.0,66.5,1677.0,8.0,58.0,9.9,14.8,2.0,12.0,6.0,0.0,2.0,2.0,13.3,212.9,2018.0,Receiving
6.0,Mike Evans,TB,WR,16.0,139.0,86.0,61.9,1524.0,8.0,72.0,11.0,17.7,0.0,0.0,0.0,1.0,2.0,1.0,12.8,204.4,2018.0,Receiving
7.0,Adam Thielen,MIN,WR,16.0,155.0,113.0,72.9,1373.0,9.0,68.0,8.9,12.2,5.0,30.0,6.0,0.0,1.0,1.0,12.1,194.3,2018.0,Receiving
8.0,Michael Thomas,NO,WR,16.0,147.0,125.0,85.0,1405.0,9.0,72.0,9.6,11.2,0.0,0.0,0.0,0.0,2.0,2.0,11.9,190.5,2018.0,Receiving
9.0,JuJu Smith-Schuster,PIT,WR,16.0,166.0,111.0,66.9,1426.0,7.0,97.0,8.6,12.8,1.0,13.0,13.0,0.0,1.0,1.0,11.6,185.9,2018.0,Receiving
10.0,Robert Woods,LAR,WR,16.0,130.0,86.0,66.2,1219.0,6.0,39.0,9.4,14.2,19.0,157.0,8.3,1.0,0.0,0.0,11.2,179.6,2018.0,Receiving
11.0,Tyler Lockett,SEA,WR,16.0,71.0,57.0,80.3,965.0,10.0,52.0,13.6,16.9,13.0,69.0,5.3,0.0,2.0,0.0,10.3,165.4,2018.0,Receiving
12.0,Stefon Diggs,MIN,WR,15.0,150.0,102.0,68.0,1021.0,9.0,75.0,6.8,10.0,10.0,62.0,6.2,0.0,0.0,0.0,11.0,164.3,2018.0,Receiving
13.0,Brandin Cooks,LAR,WR,16.0,117.0,80.0,68.4,1204.0,5.0,57.0,10.3,15.0,10.0,68.0,6.8,1.0,1.0,0.0,10.2,163.2,2018.0,Receiving
14.0,Keenan Allen,LAC,WR,16.0,136.0,97.0,71.3,1196.0,6.0,54.0,8.8,12.3,9.0,75.0,8.3,0.0,3.0,1.0,10.2,163.1,2018.0,Receiving
15.0,T.Y. Hilton,IND,WR,14.0,120.0,76.0,63.3,1270.0,6.0,68.0,10.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,11.6,163.0,2018.0,Receiving
16.0,Odell Beckham Jr,NYG,WR,12.0,124.0,77.0,62.1,1052.0,6.0,51.0,8.5,13.7,5.0,19.0,3.8,0.0,2.0,1.0,12.8,153.34,2018.0,Receiving
17.0,Tyler Boyd,CIN,WR,14.0,108.0,76.0,70.4,1028.0,7.0,49.0,9.5,13.5,2.0,3.0,1.5,0.0,0.0,0.0,10.4,145.1,2018.0,Receiving
18.0,Calvin Ridley,ATL,WR,16.0,92.0,64.0,69.6,821.0,10.0,75.0,8.9,12.8,6.0,27.0,4.5,0.0,2.0,1.0,8.9,142.8,2018.0,Receiving
19.0,Amari Cooper,DAL,WR,15.0,107.0,75.0,70.1,1004.0,7.0,90.0,9.4,13.4,2.0,20.0,10.0,0.0,2.0,2.0,9.4,140.4,2018.0,Receiving
