Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
1.0,Todd Gurley,LAR,RB,14.0,256.0,1251.0,4.9,17.0,81.0,59.0,580.0,4.0,1.0,1.0,22.4,313.1,2018.0,Rushing
2.0,Saquon Barkley,NYG,RB,16.0,261.0,1307.0,5.0,11.0,121.0,91.0,721.0,4.0,0.0,0.0,18.4,294.8,2018.0,Rushing
3.0,Christian McCaffrey,CAR,RB,16.0,219.0,1098.0,5.0,7.0,124.0,107.0,867.0,6.0,4.0,1.0,17.4,278.5,2018.0,Rushing
4.0,Alvin Kamara,NO,RB,15.0,194.0,883.0,4.6,14.0,105.0,81.0,709.0,4.0,1.0,0.0,18.2,273.2,2018.0,Rushing
5.0,Ezekiel Elliott,DAL,RB,15.0,304.0,1435.0,4.7,6.0,95.0,77.0,567.0,3.0,6.0,1.0,16.8,252.2,2018.0,Rushing
6.0,Melvin Gordon,LAC,RB,12.0,175.0,885.0,5.1,10.0,66.0,50.0,490.0,4.0,1.0,0.0,18.8,225.5,2018.0,Rushing
7.0,James Conner,PIT,RB,13.0,215.0,973.0,4.5,12.0,71.0,55.0,497.0,1.0,4.0,2.0,17.3,225.0,2018.0,Rushing
8.0,Kareem Hunt,KC,RB,11.0,181.0,824.0,4.6,7.0,35.0,26.0,378.0,7.0,0.0,0.0,18.6,204.2,2018.0,Rushing
9.0,Joe Mixon,CIN,RB,14.0,237.0,1168.0,4.9,8.0,55.0,43.0,296.0,1.0,0.0,0.0,14.3,200.4,2018.0,Rushing
10.0,David Johnson,ARI,RB,16.0,258.0,940.0,3.6,7.0,76.0,50.0,446.0,3.0,3.0,2.0,12.3,196.6,2018.0,Rushing
11.0,James White,NE,RB,16.0,94.0,425.0,4.5,5.0,123.0,87.0,751.0,7.0,0.0,0.0,11.8,189.6,2018.0,Rushing
12.0,Phillip Lindsay,DEN,RB,15.0,192.0,1037.0,5.4,9.0,47.0,35.0,241.0,1.0,0.0,0.0,12.5,187.8,2018.0,Rushing
13.0,Derrick Henry,TEN,RB,16.0,215.0,1059.0,4.9,12.0,18.0,15.0,99.0,0.0,1.0,1.0,11.6,186.36,2018.0,Rushing
14.0,Chris Carson,SEA,RB,14.0,247.0,1151.0,4.7,9.0,24.0,20.0,163.0,0.0,3.0,2.0,13.0,181.4,2018.0,Rushing
15.0,Nick Chubb,CLE,RB,16.0,192.0,996.0,5.2,8.0,29.0,20.0,149.0,2.0,0.0,0.0,10.9,174.5,2018.0,Rushing
