Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Darius Leonard,IND,OLB,15,111,52,16.5,7,48,8,8,2,4,2,0,14.2,212.3
2,Aaron Donald,LAR,DT,16,41,18,30,20.5,183.5,41,1,0,4,2,0,12.5,199.35
3,JJ Watt,HOU,DE,16,47,14,24,16,126,29,4,0,7,0,0,11,176.6
4,Luke Kuechly,CAR,ILB,16,93,37,24.5,2,8,5,6,1,2,1,0,10.2,163.8
5,Cory Littleton,LAR,ILB,16,90,35,9,4,43,4,13,3,0,0,1,10,160.8
6,Bobby Wagner,SEA,ILB,15,84,54,6,1,9,8,11,1,2,1,1,10.5,156.9
7,Jamal Adams,NYJ,SS,16,86,29,11.5,3.5,25,8,12,1,3,1,0,9.8,156.5
8,TJ Watt,PIT,OLB,16,50,18,17,13,92,23,3,0,6,0,0,9.7,155.2
9,Chris Jones,KC,NT,16,35,5,21.5,15.5,120,30,5,1,2,0,1,9.5,152
10,Blake Martinez,GB,ILB,16,92,52,10,5,34,6,3,0,0,0,0,9.4,150.4
11,Von Miller,DEN,OLB,16,29,19,16.5,14.5,82.5,27,3,1,5,3,0,9.3,149.25
12,Jaylon Smith,DAL,ILB,16,82,39,7.5,4,6,6,4,0,3,2,1,9.3,148.6
13,Telvin Smith,JAX,OLB,16,100,34,5.5,1,9,3,2,2,1,1,1,9.3,148.4
14,Dee Ford,KC,DE,16,42,13,17.5,13,73.5,30,1,0,6,0,0,9.3,148.35
15,Danielle Hunter,MIN,DE,16,51,20,21.5,14.5,87,19,0,0,0,1,1,9.3,148.2
16,Lavonte David,TB,OLB,14,94,25,14,3.5,14.5,7,2,0,1,2,0,10.5,146.95
17,Khalil Mack,CHI,OLB,14,37,10,13.5,12.5,78,21,4,1,6,2,1,10.4,146.3
18,Calais Campbell,JAX,DE,16,53,19,23.5,10.5,73.5,22,2,0,1,1,0,9,144.35
19,Demario Davis,NO,OLB,16,74,36,12.5,5,43,12,4,0,2,1,0,9,143.8
20,Demarcus Lawrence,DAL,DE,16,42,22,21,10.5,82,24,1,1,3,1,0,9,143.2
21,Tremaine Edmunds,BUF,ILB,15,80,41,5.5,2,4,7,12,2,2,0,0,9.4,141.4
22,Jayon Brown,TEN,ILB,16,64,33,11,6,30.5,10,6,1,2,1,1,8.8,140.55
23,Roquan Smith,CHI,ILB,16,89,33,8,5,37,5,5,1,0,0,0,8.8,140.2
24,Leighton Vander Esch,DAL,OLB,16,103,38,3,0,0,1,7,2,0,0,0,8.7,139
25,Frank Clark,SEA,DE,16,34,8,14,14,61.5,27,2,1,4,2,0,8.5,136.15
26,Antoine Bethea,ARI,SS,16,99,21,5,3,21,6,4,0,1,0,0,8.5,135.6
27,Mason Foster,WAS,ILB,16,84,49,4,1,7,1,4,2,1,2,0,8.4,135.2
28,Kiko Alonso,MIA,OLB,15,79,46,3,0,0,3,6,3,3,1,0,9,135
29,Shawn Williams,CIN,SS,16,81,29,2,1,0,2,9,5,1,0,1,8.4,134.5
30,Avery Williamson,NYJ,ILB,16,79,42,5.5,2.5,17.5,4,6,1,2,1,0,8.4,134.25
31,Myles Garrett,CLE,DE,16,35,9,16,13.5,91.5,30,3,0,3,0,0,8.4,133.65
32,Jarrad Davis,DET,ILB,16,73,26,10,6,45,10,5,0,1,1,0,8.3,133.5
33,Jamie Collins,CLE,OLB,16,73,31,14.5,4,17,7,4,1,1,1,0,8.3,132.7
34,John Johnson,LAR,SS,16,82,37,3.5,0,0,2,11,4,1,0,0,8.2,132
35,Derwin James,LAC,S,16,75,30,4.5,3.5,22,6,13,3,0,0,0,8.2,131.7
36,Bradley Chubb,DEN,OLB,16,41,18,16.5,12,89,22,1,0,2,1,0,8.2,131.4
37,Jason Pierre-Paul,TB,DE,16,48,10,16.5,12.5,84,20,2,0,1,1,0,8.2,130.9
38,Deforest Buckner,SF,DT,16,44,23,18,12,67,20,3,0,0,1,0,8.1,130.2
39,Chandler Jones,ARI,DE,16,38,11,17,13,71,20,4,0,3,1,0,8.1,129.6
40,Kyle Van Noy,NE,LB,16,55,37,8,3.5,34,10,2,1,1,2,1,8,127.9
41,Budda Baker,ARI,SS,14,78,24,12,2,20.5,3,1,0,1,2,1,9.1,127.05
42,Tahir Whitehead,OAK,OLB,16,88,38,8,0,0,1,5,1,1,0,0,7.9,127
43,Jadeveon Clowney,HOU,OLB,15,38,9,19,9,70.5,21,1,0,1,3,1,8.4,126.55
44,Jordan Poyer,BUF,FS,16,73,27,7.5,2,15,3,6,4,1,1,0,7.9,126.5
45,Lorenzo Alexander,BUF,OLB,16,54,19,13,6.5,40.5,11,9,2,1,1,0,7.8,125.55
46,Cameron Jordan,NO,DE,16,36,13,19,12,67,21,6,0,1,1,0,7.8,125.2
47,Todd Davis,DEN,ILB,16,80,34,6,0.5,0,5,7,1,0,0,1,7.8,125
48,Alec Ogletree,NYG,ILB,13,58,35,7.5,1,8,4,8,5,0,0,2,9.6,124.8
49,Fletcher Cox,PHI,DT,16,33,13,14,10.5,71.5,35,1,0,1,1,0,7.7,123.65
50,Danny Trevathan,CHI,ILB,16,76,26,8,2,6,4,6,2,1,1,0,7.7,123.6
51,Harrison Smith,MIN,FS,16,67,17,9,3,37,5,6,3,1,2,0,7.7,123.2
52,Fred Warner,SF,OLB,16,85,39,4,0,0,2,6,0,1,1,0,7.7,122.5
53,Wesley Woodyard,TEN,ILB,14,69,44,6,4.5,29.5,7,2,0,0,1,0,8.6,120.95
54,Joe Schobert,CLE,ILB,13,57,46,6,3,18,6,6,1,2,2,0,9.3,120.8
