Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Michael Vick,PHI,QB,12,233,372,62.6,3018,8.1,21,6,100.18,100,676,6.8,9,25.9,310.32
2,Aaron Rodgers,GB,QB,15,312,475,65.7,3922,8.3,28,11,101.22,64,356,5.6,4,20.3,304.48
3,Tom Brady,NE,QB,16,324,492,65.9,3900,7.9,36,4,110.99,31,30,1,1,18.7,299
4,Peyton Manning,IND,QB,16,450,680,66.2,4700,6.9,33,17,91.79,18,18,1,0,17.9,285.8
5,Philip Rivers,LAC,QB,16,357,541,66,4710,8.7,30,13,101.82,29,52,1.8,0,17.6,281.6
6,Drew Brees,NO,QB,16,448,658,68.1,4620,7,33,22,90.86,18,-3,-0.2,0,16.8,269.2
7,Josh Freeman,TB,QB,16,291,474,61.4,3451,7.3,25,6,95.89,68,364,5.4,0,16.2,258.44
8,Matt Ryan,ATL,QB,16,357,571,62.5,3705,6.5,28,9,91,46,122,2.7,0,15.8,252.4
9,Matt Schaub,HOU,QB,16,365,574,63.6,4369,7.6,24,12,92.02,22,28,1.3,0,15.3,245.56
10,Joe Flacco,BAL,QB,16,306,489,62.6,3622,7.4,25,10,93.61,43,84,2,1,14.5,231.28
11,Eli Manning,NYG,QB,16,339,539,62.9,4002,7.4,31,25,85.28,32,70,2.2,0,14.4,231.08
12,Matt Cassel,KC,QB,15,262,450,58.2,3116,6.9,27,7,92.97,33,125,3.8,0,15.3,229.14
13,Carson Palmer,CIN,QB,16,362,586,61.8,3970,6.8,26,20,82.36,32,50,1.6,0,14,223.8
14,David Garrard,JAX,QB,14,236,366,64.5,2734,7.5,23,15,90.81,66,279,4.2,5,15.8,221.26
15,Ben Roethlisberger,PIT,QB,12,240,389,61.7,3200,8.2,17,5,96.98,33,176,5.3,2,17.6,211.6
16,Jay Cutler,CHI,QB,15,261,432,60.4,3274,7.6,23,16,86.32,51,232,4.5,1,14,210.16
17,Kyle Orton,DEN,QB,13,293,498,58.8,3652,7.3,20,9,87.53,22,98,4.5,0,16.1,209.88
18,Mark Sanchez,NYJ,QB,16,278,507,54.8,3291,6.5,17,13,75.32,30,105,3.5,3,12.6,202.14
19,Ryan Fitzpatrick,BUF,QB,13,255,441,57.8,3000,6.8,23,15,81.83,41,271,6.6,0,15.3,199.1
20,Sam Bradford,LAR,QB,16,354,590,60,3512,6,18,15,76.46,27,63,2.3,1,11.9,190.78
21,Donovan McNabb,WAS,QB,13,275,472,58.3,3377,7.2,14,15,77.09,29,151,5.2,0,13.4,174.18
22,Shaun Hill,DET,QB,11,257,416,61.8,2686,6.5,16,12,81.27,22,123,5.6,0,14.5,159.74
23,Jason Campbell,OAK,QB,13,194,329,59,2387,7.3,13,8,84.49,47,222,4.7,1,12.1,157.68
24,Jon Kitna,DAL,QB,10,209,318,65.7,2365,7.4,16,12,88.89,30,150,5,1,15.8,157.6
25,Chad Henne,MIA,QB,15,301,490,61.4,3301,6.7,15,18,76.24,35,52,1.5,0,10.5,157.24
26,Matt Hasselbeck,SEA,QB,14,266,444,59.9,2998,6.8,12,17,73.2,23,60,2.6,3,10.6,147.92
27,Alex Smith,SF,QB,11,204,342,59.6,2370,6.9,14,10,82.13,18,60,3.3,0,12.3,134.8
28,Kerry Collins,TEN,QB,10,160,278,57.6,1823,6.6,14,8,82.16,10,1,0.1,0,10.9,109.02
29,Tony Romo,DAL,QB,6,148,213,69.5,1605,7.5,11,7,94.9,6,38,6.3,0,16.5,99.1
30,Tim Tebow,DEN,QB,9,41,82,50,654,8,5,3,82.06,43,227,5.3,6,11,98.86
31,Brett Favre,MIN,QB,13,217,358,60.6,2509,7,11,19,69.93,18,8,0.4,0,7.5,97.16
32,Colt McCoy,CLE,QB,8,135,222,60.8,1576,7.1,6,9,74.46,28,136,4.9,1,11.2,89.94
33,Derek Anderson,ARI,QB,12,169,327,51.7,2065,6.3,7,10,65.86,5,25,5,0,7.4,89.1
34,Vince Young,TEN,QB,9,93,156,59.6,1255,8,10,3,98.64,25,125,5,0,9.9,88.7
35,Troy Smith,SF,QB,6,73,145,50.3,1176,8.1,5,4,77.83,23,121,5.3,1,12.9,77.14
36,Kevin Kolb,PHI,QB,7,115,189,60.8,1197,6.3,7,7,76.09,14,68,4.9,0,9,62.68
37,Jimmy Clausen,CAR,QB,13,157,299,52.5,1558,5.2,3,9,58.35,23,57,2.5,0,4.5,58.02
38,Drew Stanton,DET,QB,6,69,119,58,780,6.6,4,3,78.41,18,113,6.3,1,9.4,56.5
39,Rex Grossman,WAS,QB,4,74,133,55.6,884,6.6,7,4,81.16,3,6,2,0,13,51.96
40,Matthew Stafford,DET,QB,3,57,96,59.4,535,5.6,6,1,91.28,4,11,2.8,1,16.8,50.5
