Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Calvin Johnson,DET,WR,16,158,96,60.8,1681,16,73,10.6,17.5,1,11,11,0,1,1,16.4,263.2
2,Jordy Nelson,GB,WR,16,96,68,70.8,1263,15,93,13.2,18.6,0,0,0,0,0,0,13.5,216.3
3,Wes Welker,NE,WR,16,173,122,70.5,1569,9,99,9.1,12.9,4,30,7.5,0,1,0,13.4,213.9
4,Victor Cruz,NYG,WR,16,132,83,62.9,1545,9,99,11.7,18.6,1,3,3,0,1,1,12.9,206.8
5,Larry Fitzgerald,ARI,WR,16,154,80,51.9,1411,8,73,9.2,17.6,0,0,0,0,0,0,11.8,189.1
6,Steve Smith,CAR,WR,16,129,79,61.2,1394,7,77,10.8,17.6,6,56,9.3,0,3,2,11.6,185
7,Roddy White,ATL,WR,16,179,100,55.9,1296,8,43,7.2,13,0,0,0,0,0,0,11.1,177.6
8,Percy Harvin,MIN,WR,16,120,87,72.5,967,6,52,8.1,11.1,51,342,6.7,2,2,2,10.9,174.9
9,Mike Wallace,PIT,WR,16,114,72,63.2,1193,8,95,10.5,16.6,5,57,11.4,0,1,1,10.7,171
10,Vincent Jackson,LAC,WR,16,115,60,52.2,1106,9,58,9.6,18.4,3,51,17,0,0,0,10.6,169.7
11,Marques Colston,NO,WR,14,107,80,74.8,1143,8,50,10.7,14.3,0,0,0,0,1,1,11.4,160.3
12,Hakeem Nicks,NYG,WR,15,131,74,56.5,1160,7,68,8.9,15.7,0,0,0,0,0,0,10.5,158
13,Brandon Marshall,MIA,WR,16,142,82,57.7,1227,6,65,8.6,15,0,0,0,0,1,1,9.8,156.7
14,AJ Green,CIN,WR,15,115,65,56.5,1057,7,58,9.2,16.3,5,53,10.6,0,1,0,10.2,153
15,Laurent Robinson,DAL,WR,14,80,54,67.5,858,11,74,10.7,15.9,0,0,0,0,0,0,10.8,151.8
16,Nate Washington,TEN,WR,16,121,74,61.2,1023,7,57,8.5,13.8,2,5,2.5,1,0,0,9.4,150.8
17,Greg Jennings,GB,WR,13,101,67,66.3,949,9,79,9.4,14.2,0,0,0,0,0,0,11.5,148.9
18,Julio Jones,ATL,WR,13,95,54,56.8,959,8,80,10.1,17.8,6,56,9.3,0,1,1,11.3,147.5
19,Dwayne Bowe,KC,WR,16,142,81,57,1159,5,52,8.2,14.3,1,12,12,0,1,0,9.2,147.1
20,Dez Bryant,DAL,WR,15,103,63,61.2,928,9,50,9,14.7,1,5,5,0,3,1,9.7,145.3
21,Steve Johnson,BUF,WR,16,134,76,56.7,1004,7,55,7.5,13.2,0,0,0,0,0,0,8.9,142.4
22,Torrey Smith,BAL,WR,16,95,50,52.6,841,7,74,8.9,16.8,4,39,9.8,0,1,0,8.1,130
23,Pierre Garcon,IND,WR,16,134,70,52.2,947,6,87,7.1,13.5,4,28,7,0,2,2,8.1,129.5
24,Antonio Brown,PIT,WR,16,124,69,55.6,1108,2,79,8.9,16.1,7,41,5.9,0,0,0,7.9,126.9
