Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Todd Gurley,LAR,RB,14,256,1251,4.9,17,81,59,580,4,1,1,22.4,313.1
2,Saquon Barkley,NYG,RB,16,261,1307,5,11,121,91,721,4,0,0,18.4,294.8
3,Christian McCaffrey,CAR,RB,16,219,1098,5,7,124,107,867,6,4,1,17.4,278.5
4,Alvin Kamara,NO,RB,15,194,883,4.6,14,105,81,709,4,1,0,18.2,273.2
5,Ezekiel Elliott,DAL,RB,15,304,1435,4.7,6,95,77,567,3,6,1,16.8,252.2
6,Melvin Gordon,LAC,RB,12,175,885,5.1,10,66,50,490,4,1,0,18.8,225.5
7,James Conner,PIT,RB,13,215,973,4.5,12,71,55,497,1,4,2,17.3,225
8,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,18.6,204.2
9,Joe Mixon,CIN,RB,14,237,1168,4.9,8,55,43,296,1,0,0,14.3,200.4
10,David Johnson,ARI,RB,16,258,940,3.6,7,76,50,446,3,3,2,12.3,196.6
11,James White,NE,RB,16,94,425,4.5,5,123,87,751,7,0,0,11.8,189.6
12,Phillip Lindsay,DEN,RB,15,192,1037,5.4,9,47,35,241,1,0,0,12.5,187.8
13,Derrick Henry,TEN,RB,16,215,1059,4.9,12,18,15,99,0,1,1,11.6,186.36
14,Chris Carson,SEA,RB,14,247,1151,4.7,9,24,20,163,0,3,2,13,181.4
15,Nick Chubb,CLE,RB,16,192,996,5.2,8,29,20,149,2,0,0,10.9,174.5
16,Adrian Peterson,WAS,RB,16,251,1042,4.2,7,26,20,208,1,3,2,10.6,169
17,Tarik Cohen,CHI,RB,16,99,444,4.5,3,91,71,725,5,7,3,10.2,162.94
18,Tevin Coleman,ATL,RB,16,167,800,4.8,4,44,32,276,5,2,0,10.1,161.6
19,Marlon Mack,IND,RB,12,195,908,4.7,9,26,17,103,1,2,2,13.4,161.1
20,Jordan Howard,CHI,RB,16,250,935,3.7,9,27,20,145,0,2,1,10,160
21,Kenyan Drake,MIA,RB,16,120,535,4.5,4,73,53,477,5,2,1,9.6,153.2
22,Lamar Miller,HOU,RB,14,210,973,4.6,5,35,25,163,1,1,1,10.5,147.6
23,Aaron Jones,GB,RB,12,133,728,5.5,8,35,26,206,1,1,1,12.1,145.4
