Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
1,Lavonte David,TB,OLB,16,105,39,20,6,46,12,9,5,2,1,0,13,208.1
2,Karlos Dansby,ARI,ILB,16,112,9,11,6,43,11,19,4,1,1,2,12.7,203.8
3,NaVorro Bowman,SF,ILB,16,118,25,9,5,45,5,9,2,4,2,1,12.4,198
4,Robert Quinn,LAR,DE,16,50,7,23,19,145,32,1,0,7,2,1,12.2,195
5,JJ Watt,HOU,DE,16,65,15,22,10.5,71,46,7,0,4,2,0,12.1,193.6
6,Vontaze Burfict,CIN,OLB,16,113,57,9,3,20,5,8,1,1,2,1,11.8,189.5
7,Paul Posluszny,JAX,ILB,15,121,40,6,3,4,7,9,2,1,1,1,12.5,187.4
8,Jerrell Freeman,IND,ILB,16,83,43,6,5.5,23,7,6,2,6,2,0,10.4,166.8
9,Kiko Alonso,BUF,OLB,16,87,72,11,2,17,1,5,4,1,2,0,10.4,166.7
10,Robert Mathis,IND,OLB,16,43,16,14,19.5,120,21,1,0,8,0,0,10.1,162
11,Luke Kuechly,CAR,ILB,16,93,63,10,2,15,2,7,4,0,0,0,10.1,161
12,Daryl Smith,BAL,OLB,16,57,66,8,5,43,8,19,3,2,0,1,10,160.3
13,Derrick Johnson,KC,ILB,15,95,12,12,4.5,27,10,7,2,0,2,0,10.2,153.7
14,Alec Ogletree,LAR,ILB,16,94,23,9,1.5,9,1,9,1,5,0,1,9.5,152.4
15,DeMeco Ryans,PHI,ILB,16,102,25,9,4,36,4,7,2,0,0,0,9.5,152.1
16,DeAndre Levy,DET,OLB,16,85,32,8,0,0,3,15,6,0,0,1,9.4,151
17,Thomas Davis,CAR,OLB,16,85,38,13,4,36,5,8,2,1,0,0,9.4,150.6
18,Barry Church,DAL,SS,16,105,28,3,0,0,1,6,1,3,1,1,9.4,150
19,Mychal Kendricks,PHI,OLB,15,81,25,8,4,24,6,5,3,2,4,0,10,149.9
20,Danny Trevathan,DEN,ILB,16,84,40,7,2,18,4,10,3,3,1,0,9.4,149.8
21,Lawrence Timmons,PIT,OLB,16,86,40,7,3,24,6,6,2,1,1,0,9.1,145.4
22,James Laurinaitis,LAR,ILB,16,85,31,8,3.5,26,5,8,2,0,2,0,8.9,143.1
23,Nick Roach,OAK,ILB,16,82,29,8,5.5,32,4,3,1,4,0,0,8.8,140.7
24,Stephen Tulloch,DET,ILB,16,93,43,7,3.5,19,5,2,1,0,0,0,8.8,140.4
25,AJ Hawk,GB,OLB,16,74,44,13,5,20,6,4,1,1,1,0,8.8,140
