Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,4314,Tom Brady,NE,QB,3,HOU,378,5,0,6,0,0,0,0,1,35.7,35.72
2,14536,Russell Wilson,SEA,QB,3,TEN,373,4,0,26,0,0,0,0,0,33.5,33.52
3,16771,Todd Gurley,LAR,RB,3,SF,0,0,0,113,2,5,36,1,0,32.9,32.9
4,16906,Stefon Diggs,MIN,WR,3,TB,0,0,0,0,0,8,173,2,0,29.3,29.3
5,15694,Case Keenum,MIN,QB,3,TB,369,3,0,18,0,0,0,0,0,28.6,28.56
6,18018,Jacoby Brissett,IND,QB,3,CLE,259,1,0,14,2,0,0,0,0,27.8,27.76
7,16245,Blake Bortles,JAX,QB,3,BAL,244,4,0,18,0,0,0,0,0,27.6,27.56
8,16568,Brandin Cooks,NE,WR,3,HOU,0,0,0,0,0,5,131,2,0,27.1,27.1
9,14252,Kirk Cousins,WAS,QB,3,OAK,365,3,0,2,0,0,0,0,0,26.8,26.8
10,18067,Jordan Howard,CHI,RB,3,PIT,0,0,0,140,2,5,26,0,1,26.6,26.6
11,8358,Brian Hoyer,SF,QB,3,LAR,332,2,1,9,1,0,0,0,0,26.2,26.18
12,2593,Aaron Rodgers,GB,QB,3,CIN,313,3,1,23,0,0,0,0,0,24.8,24.82
13,15102,Chris Thompson,WAS,RB,3,OAK,0,0,0,38,0,6,150,1,0,24.8,24.8
14,18944,Kareem Hunt,KC,RB,3,LAC,0,0,0,172,1,1,11,0,0,24.3,24.3
15,3061,Marcedes Lewis,JAX,TE,3,BAL,0,0,0,0,0,4,62,3,0,24.2,24.2
16,17922,Jared Goff,LAR,QB,3,SF,292,3,0,-1,0,0,0,0,0,23.6,23.58
17,18055,Dak Prescott,DAL,QB,3,ARI,183,2,0,16,1,0,0,0,0,22.9,22.92
18,18872,Dalvin Cook,MIN,RB,3,TB,0,0,0,97,1,5,72,0,0,22.9,22.9
19,4932,Eli Manning,NYG,QB,3,PHI,366,3,2,0,0,0,0,0,0,22.6,22.64
