Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
1,Patrick Mahomes,KC,QB,SEA,11,9,21.49,QB1,1
2,Russell Wilson,SEA,QB,KC,31,30,19.71,QB2,2
3,Drew Brees,NO,QB,PIT,14,22,19.67,QB3,3
4,Ezekiel Elliott,DAL,RB,TB,30,29,18.74,RB1,4
5,Andrew Luck,IND,QB,NYG,17,11,18.63,QB4,5
6,Matt Ryan,ATL,QB,CAR,22,25,18.52,QB5,6
7,Aaron Rodgers,GB,QB,NYJ,23,20,18.49,QB6,7
8,Deshaun Watson,HOU,QB,PHI,25,24,18.45,QB7,8
9,Dak Prescott,DAL,QB,TB,30,29,18.39,QB8,9
10,Ben Roethlisberger,PIT,QB,NO,13,28,18.33,QB9,10
11,Baker Mayfield,CLE,QB,CIN,32,31,18.03,QB10,11
12,Tom Brady,NE,QB,BUF,4,1,17.89,QB11,12
13,Jared Goff,LAR,QB,ARI,15,6,17.83,QB12,13
14,Kirk Cousins,MIN,QB,DET,16,19,17.46,QB13,14
15,Mitch Trubisky,CHI,QB,SF,26,27,17.41,QB14,15
15,Christian McCaffrey,CAR,RB,ATL,27,27,17.41,RB2,15
17,Jameis Winston,TB,QB,DAL,7,8,17.28,QB15,17
18,Philip Rivers,LAC,QB,BAL,1,4,16.96,QB16,18
19,Lamar Jackson,BAL,QB,LAC,8,7,16.89,QB17,19
20,Josh Allen,BUF,QB,NE,21,23,16.76,QB18,20
21,Nick Foles,PHI,QB,HOU,10,14,16.01,QB19,21
22,Saquon Barkley,NYG,RB,IND,9,11,15.96,RB3,22
23,Nick Chubb,CLE,RB,CIN,32,32,15.1,RB4,23
24,Case Keenum,DEN,QB,OAK,30,25,14.83,QB20,24
25,Sam Darnold,NYJ,QB,GB,18,17,14.82,QB21,25
26,Derek Carr,OAK,QB,DEN,20,11,14.54,QB22,26
27,Alvin Kamara,NO,RB,PIT,14,9,14.44,RB5,27
28,Eli Manning,NYG,QB,IND,9,12,14.23,QB23,28
29,Marcus Mariota,TEN,QB,WAS,12,18,14.16,QB24,29
30,Melvin Gordon,LAC,RB,BAL,1,2,14.13,RB6,30
31,Davante Adams,GB,WR,NYJ,23,30,13.63,WR1,31
32,Joe Mixon,CIN,RB,CLE,24,24,13.59,RB7,32
33,Phillip Lindsay,DEN,RB,OAK,30,27,13.39,RB8,33
34,Chris Carson,SEA,RB,KC,31,30,13.29,RB9,34
35,Derrick Henry,TEN,RB,WAS,12,13,13.19,RB10,35
36,DeAndre Hopkins,HOU,WR,PHI,25,31,13.18,WR2,36
37,Ryan Tannehill,MIA,QB,JAX,6,10,13.14,QB25,37
38,Tyreek Hill,KC,WR,SEA,11,22,13.08,WR3,38
39,Nick Mullens,SF,QB,CHI,2,2,12.95,QB26,39
40,Josh Johnson,WAS,QB,TEN,3,5,12.91,QB27,40
41,Matthew Stafford,DET,QB,MIN,5,4,12.82,QB28,41
42,Darius Leonard,IND,OLB,NYG,17,null,12.75,LB1,42
43,Antonio Brown,PIT,WR,NO,13,32,12.61,WR4,43
44,Dalvin Cook,MIN,RB,DET,16,22,12.59,RB11,44
45,Marlon Mack,IND,RB,NYG,17,25,12.35,RB12,45
46,Jeff Driskel,CIN,QB,CLE,24,16,11.97,QB29,46
47,Michael Thomas,NO,WR,PIT,14,13,11.81,WR5,47
48,Taylor Heinicke,CAR,QB,ATL,27,32,11.76,QB30,48
49,Travis Kelce,KC,TE,SEA,11,8,11.75,TE1,49
50,Jamaal Williams,GB,RB,NYJ,23,12,11.64,RB13,50
51,Julio Jones,ATL,WR,CAR,22,25,11.57,WR6,51
52,David Johnson,ARI,RB,LAR,20,17,11.5,RB14,52
