TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Ravens,23,23,66,243,3.7,14,6,17,35.3,1,3,33.3,5,35,33:40,2
Bears,16,16,64,300,4.7,21,6,13,46.2,2,3,66.7,3,25,30:48,-2
Seahawks,24,24,68,380,5.6,23,4,11,36.4,3,4,75,6,36,34:50,-1
Texans,21,21,67,422,6.3,26,9,14,64.3,3,4,75,2,10,31:14,0
Saints,20,40,115,628,5.5,34,8,23,34.8,3,5,60,11,94,27:23,-1
Chargers,29,58,137,727,5.3,41,12,29,41.4,6,9,66.7,16,116,32:20,0
Colts,19,38,146,755,5.2,49,7,27,25.9,4,6,66.7,14,121,34:18,0
Cowboys,26,52,128,758,5.9,41,7,24,29.2,4,7,57.1,9,77,31:42,1
Eagles,17.5,35,134,776,5.8,42,13,31,41.9,2,5,40,14,136,34:31,3
Chiefs,25,50,147,790,5.4,51,13,28,46.4,4,7,57.1,16,131,32:05,-2
Patriots,20.7,62,170,885,5.2,54,12,35,34.3,6,6,100,18,126,23:08,0
Rams,19.3,58,187,1005,5.4,60,10,36,27.8,5,8,62.5,10,66,29:13,0
