TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Panthers,23,23,65,315,4.8,21,6,14,42.9,2,4,50,5,40,29:55,2
Bengals,27,27,57,318,5.6,16,4,12,33.3,2,4,50,5,28,29:28,4
Packers,23,23,63,381,6,22,6,12,50,1,4,25,2,10,29:6,-1
Eagles,26,26,68,434,6.4,26,7,13,53.8,1,4,25,7,85,34:53,-2
Saints,23.5,47,113,533,4.7,30,8,26,30.8,4,7,57.1,10,90,27:18,3
Chiefs,45,45,65,536,8.2,28,4,8,50,5,6,83.3,4,19,22:27,-3
Chargers,17,34,149,802,5.4,53,12,25,48,4,7,57.1,10,88,33:00,-6
Patriots,24,48,136,893,6.6,43,13,28,46.4,2,8,25,8,76,30:22,-4
49ers,17.7,53,173,914,5.3,50,14,35,40,2,10,20,19,159,31:49,1
Broncos,25.3,76,160,920,5.8,49,17,36,47.2,6,10,60,20,182,27:54,6
Colts,43.5,87,153,932,6.1,53,20,34,58.8,9,11,81.8,6,50,36:16,7
Seahawks,13.3,40,188,1018,5.4,59,12,36,33.3,4,7,57.1,20,178,29:03,-7
