TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Patriots,30.7,92,213,1395,6.5,82,19,39,48.7,10,13,76.9,6,52,28:55,-1
Eagles,31.3,94,198,1328,6.7,74,26,43,60.5,5,9,55.6,14,114,33:25,1
Jaguars,25,75,191,982,5.1,59,16,41,39,8,8,100,14,172,30:27,5
Saints,27.5,55,123,768,6.2,44,4,17,23.5,6,7,85.7,14,193,26:27,-2
Vikings,18,36,138,736,5.3,46,16,30,53.3,2,6,33.3,6,49,30:36,-2
Titans,18,36,125,664,5.3,38,13,28,46.4,3,4,75,18,112,30:46,-2
Falcons,18,36,131,603,4.6,39,9,28,32.1,3,7,42.9,8,124,33:44,4
Steelers,42,42,78,545,7,28,7,16,43.8,3,3,100,4,25,31:10,-2
Panthers,26,26,71,413,5.8,24,8,17,47.1,1,4,25,2,18,33:49,1
Rams,13,13,64,361,5.6,19,5,14,35.7,1,4,25,5,45,22:25,-2
Chiefs,21,21,53,325,6.1,19,4,11,36.4,3,3,100,8,68,27:32,2
Bills,3,3,74,263,3.6,20,7,18,38.9,0,1,0,5,52,32:37,-2
