TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
49ers,10.8,43,244,823,3.4,55,19,60,31.7,2,7,28.6,24,216,30:06,1
Redskins,13.2,53,224,870,3.9,52,10,50,20,4,7,57.1,26,220,29:38,-2
Seahawks,9,36,232,957,4.1,57,16,51,31.4,3,10,30,28,213,29:58,-8
Texans,16.8,67,224,1103,4.9,60,19,53,35.8,5,10,50,20,135,26:07,-1
Chargers,28,112,234,1120,4.8,63,19,53,35.8,9,15,60,27,203,29:50,7
Broncos,26,104,232,1156,5,62,15,49,30.6,7,9,77.8,33,257,26:25,5
Giants,21.2,85,264,1171,4.4,71,20,57,35.1,4,6,66.7,20,224,31:50,-5
Saints,20,80,259,1185,4.6,73,16,54,29.6,5,13,38.5,29,354,28:40,4
Jets,20,80,279,1213,4.3,65,18,66,27.3,4,9,44.4,29,259,28:30,5
Lions,15.8,63,257,1233,4.8,70,17,53,32.1,6,10,60,30,220,29:50,-6
Bengals,15.8,63,261,1261,4.8,76,28,61,45.9,6,10,60,23,224,32:02,5
Ravens,24.2,97,264,1263,4.8,75,23,63,36.5,6,12,50,43,373,32:48,4
Chiefs,15,60,281,1265,4.5,71,20,66,30.3,4,8,50,33,287,34:56,0
Cardinals,13.8,55,257,1273,5,70,29,61,47.5,5,8,62.5,24,220,30:48,-8
Steelers,23.2,93,258,1304,5.1,74,18,56,32.1,3,10,30,23,207,29:48,-1
Bills,25.2,101,274,1305,4.8,75,18,59,30.5,8,13,61.5,17,224,32:46,1
Packers,17.8,71,247,1306,5.3,66,16,53,30.2,3,11,27.3,36,340,31:39,0
Browns,17,68,256,1317,5.1,74,24,57,42.1,4,9,44.4,26,201,31:44,-2
Falcons,27,108,250,1319,5.3,75,25,58,43.1,7,12,58.3,19,154,28:06,-3
Colts,22.2,89,276,1329,4.8,80,24,63,38.1,6,16,37.5,30,269,31:42,0
Buccaneers,28.8,115,274,1337,4.9,80,24,59,40.7,4,12,33.3,32,321,31:40,1
Panthers,17,68,269,1353,5,86,24,54,44.4,6,14,42.9,24,199,31:03,-8
Raiders,25.2,101,248,1356,5.5,77,22,52,42.3,8,16,50,30,255,31:27,2
Bears,24,96,250,1363,5.5,76,16,49,32.7,9,11,81.8,23,180,29:46,-5
Eagles,22.8,91,288,1424,4.9,86,23,61,37.7,7,14,50,16,120,32:22,5
Rams,23.5,94,286,1431,5,85,22,63,34.9,7,14,50,30,212,32:05,-1
Titans,22.2,89,253,1438,5.7,84,24,52,46.2,7,15,46.7,25,193,28:27,0
Jaguars,27.8,111,278,1471,5.3,84,17,56,30.4,7,16,43.8,22,214,32:10,5
Patriots,25.8,103,294,1542,5.2,83,25,65,38.5,10,18,55.6,32,259,32:30,5
Dolphins,17.8,89,329,1547,4.7,97,28,71,39.4,8,11,72.7,43,332,29:16,-1
Vikings,26,104,293,1592,5.4,103,29,59,49.2,8,15,53.3,33,294,33:13,2
Cowboys,18.6,93,323,1773,5.5,93,24,68,35.3,4,15,26.7,25,245,30:11,-1
