TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Bears,24.2,121,329,1764,5.4,109,27,67,40.3,10,18,55.6,46,459,31:40,-3
Ravens,25.4,127,333,1612,4.8,100,17,67,25.4,9,17,52.9,33,267,32:36,9
Panthers,26,104,262,1493,5.7,95,25,51,49,9,12,75,32,298,32:50,-1
Buccaneers,24,96,271,1463,5.4,90,23,55,41.8,9,15,60,26,307,30:11,-1
49ers,18.8,75,250,1459,5.8,81,24,52,46.2,8,16,50,36,331,31:40,-7
Bengals,25.8,103,258,1458,5.7,82,18,55,32.7,6,14,42.9,36,294,29:13,2
Bills,20.8,83,259,1357,5.2,81,21,54,38.9,8,13,61.5,39,329,30:56,-1
Chiefs,22.8,91,242,1346,5.6,79,28,54,51.9,3,11,27.3,29,320,31:03,2
Broncos,25.2,101,250,1339,5.4,78,24,55,43.6,5,11,45.5,41,404,32:13,-1
Colts,22,88,265,1327,5,79,27,65,41.5,8,16,50,34,335,31:52,-2
Seahawks,17.5,70,238,1324,5.6,68,20,53,37.7,5,10,50,36,293,26:16,-2
Steelers,30,120,237,1319,5.6,76,15,49,30.6,8,11,72.7,36,334,29:22,4
Eagles,11,44,272,1306,4.8,77,16,56,28.6,4,8,50,31,281,30:25,-9
Jaguars,19,76,267,1305,4.9,83,24,56,42.9,7,9,77.8,30,280,33:12,0
Redskins,17.2,69,237,1305,5.5,75,13,48,27.1,5,11,45.5,28,218,29:45,-1
Browns,19.2,77,253,1301,5.1,71,16,58,27.6,5,9,55.6,35,350,31:50,2
Dolphins,22,88,264,1291,4.9,79,13,54,24.1,8,17,47.1,26,198,29:56,-2
Packers,27.2,109,272,1283,4.7,85,25,60,41.7,8,12,66.7,35,301,31:23,1
Saints,25.8,103,240,1275,5.3,86,20,48,41.7,10,17,58.8,24,223,30:16,-1
Giants,18.5,74,261,1266,4.9,78,20,58,34.5,6,10,60,25,210,30:36,2
Raiders,18.5,74,226,1264,5.6,66,15,47,31.9,5,11,45.5,41,389,29:54,-3
Patriots,23.5,94,263,1255,4.8,85,21,57,36.8,7,11,63.6,24,264,29:23,1
Vikings,21.5,86,275,1206,4.4,79,23,62,37.1,8,11,72.7,26,218,32:47,0
Texans,16.8,67,237,1166,4.9,75,13,46,28.3,7,12,58.3,31,251,28:56,2
Lions,19.2,77,265,1125,4.2,81,15,52,28.8,8,12,66.7,28,263,30:54,0
Cowboys,10.8,43,265,1122,4.2,69,20,60,33.3,3,5,60,39,321,31:49,-5
Chargers,17.8,71,238,1067,4.5,69,21,52,40.4,5,11,45.5,38,391,32:03,0
Titans,10,40,235,1017,4.3,64,19,56,33.9,4,7,57.1,45,402,28:32,-1
Falcons,6.8,27,228,988,4.3,51,17,53,32.1,3,7,42.9,29,228,26:14,1
Jets,13.8,55,224,913,4.1,57,19,55,34.5,5,10,50,35,305,28:18,1
Cardinals,20.2,81,205,821,4,47,11,50,22,5,7,71.4,38,337,27:03,15
Rams,11.8,47,239,784,3.3,52,20,61,32.8,5,9,55.6,32,262,32:19,-2
