TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Chiefs,26.3,2114,5,89,20.9,52,7.6,109,15.9
Steelers,22.5,1538,4.2,96,26,52,8.4,117,18.9
Bears,17.7,1280,3.8,98,28.9,50,7.5,104,15.6
Vikings,21.3,1815,4.1,103,23.4,50,9,94,17
Cardinals,26.6,2479,4.9,118,23.1,49,8.8,94,16.9
Saints,22.1,1284,3.6,96,27,49,7.9,101,16.2
Redskins,22.4,1860,4.5,81,19.6,46,7.9,94,16.1
Broncos,21.8,1913,4.5,83,19.3,44,7.4,96,16.2
Packers,25,1918,4.3,78,17.5,44,7.7,76,13.3
Eagles,21.8,1551,4.7,99,29.8,44,6.6,133,19.9
Ravens,17.9,1327,3.7,93,26.3,43,6.9,103,16.6
Lions,22.5,1761,4.4,73,18.1,43,8,78,14.5
Texans,19.8,1323,3.4,96,24.9,43,6.8,96,15.1
Seahawks,21.7,1811,4.9,82,22.4,43,7.3,109,18.5
Rams,24,1957,5.1,85,22,41,7.1,102,17.8
Cowboys,20.2,1513,3.8,88,22,39,6.7,100,17.2
Jets,27.6,2021,4.6,84,19.1,39,6.3,115,18.5
Titans,18.9,1863,4.3,85,19.8,39,6.8,87,15.2
Colts,21.5,1626,3.9,110,26.5,38,6.6,78,13.4
Chargers,20.6,1693,4.3,78,19.7,38,6.5,85,14.5
Buccaneers,29,1983,4.7,92,21.6,38,6.6,95,16.6
Falcons,26.4,1999,4.9,68,16.6,37,5.9,79,12.7
Browns,24.5,2163,4.7,99,21.6,37,5.6,91,13.7
Jaguars,19.8,1870,4.3,89,20.5,37,6.9,94,17.5
49ers,27.2,1814,4.1,91,20.5,37,6.4,93,16.1
Bills,23.4,1839,4.2,109,24.8,36,6.8,88,16.7
Panthers,23.9,1804,4.7,108,28.1,35,6.2,72,12.8
Bengals,28.4,2204,4.7,71,15.2,34,5.5,83,13.4
Dolphins,27.1,2325,4.8,79,16.3,31,5.8,77,14.3
Patriots,20.3,1803,4.9,67,18.3,30,4.7,99,15.6
Giants,25.8,1898,4.3,86,19.4,30,5.1,85,14.4
Raiders,29.2,2249,4.7,59,12.3,13,2.6,48,9.7
