TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Bills,23.4,374,313,2867,5.8,22,157
Jaguars,19.8,316,312,3113,6.2,17,162
Vikings,21.3,341,315,3140,6.2,15,160
Cardinals,26.6,425,342,3262,6.4,21,186
Ravens,17.9,287,337,3360,5.8,21,174
Titans,18.9,303,337,3471,6.5,21,182
Bears,17.7,283,377,3515,5.7,22,186
Lions,22.5,360,323,3599,7.3,29,191
Chargers,20.6,329,351,3646,6.7,23,178
Steelers,22.5,360,362,3697,6.5,27,200
49ers,27.2,435,344,3732,6.9,35,195
Packers,25,400,336,3752,7.1,30,199
Cowboys,20.2,324,367,3755,6.9,22,193
Rams,24,384,347,3780,7.1,31,185
Redskins,22.4,359,362,3794,7.1,27,197
Colts,21.5,344,384,3805,7,21,203
Seahawks,21.7,347,355,3842,7,26,201
Panthers,23.9,382,353,3847,7.3,32,185
Raiders,29.2,467,299,3853,8,36,178
Broncos,21.8,349,353,3929,7.2,26,197
Dolphins,27.1,433,335,3932,7.7,31,195
Patriots,20.3,325,370,3943,6.5,29,208
Giants,25.8,412,362,4044,7.2,24,205
Jets,27.6,441,367,4065,7,29,201
Browns,24.5,392,393,4125,6.6,21,216
Buccaneers,29,464,387,4151,7.8,34,209
Falcons,26.4,423,398,4153,7.1,33,226
Texans,19.8,316,385,4167,7,28,200
Saints,22.1,353,384,4301,7.5,30,224
Eagles,21.8,348,417,4308,6.9,22,215
Chiefs,26.3,421,406,4374,6.9,30,247
Bengals,28.4,455,389,4414,7.6,32,221
