TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Chiefs,35.3,565,996,6810,6.8,384,83,176,47.2,51,71,71.8,137,1152,29:11,9
Rams,32.9,527,1060,6738,6.4,401,86,191,45,46,80,57.5,96,878,31:42,11
Buccaneers,24.8,396,1055,6648,6.3,388,86,187,46,36,60,60,117,975,30:30,-18
Steelers,26.8,428,1058,6453,6.1,378,88,198,44.4,36,49,73.5,111,1026,31:00,-11
Patriots,27.2,436,1073,6295,5.9,365,82,201,40.8,34,57,59.6,93,744,31:05,10
Falcons,25.9,414,1010,6226,6.2,352,92,203,45.3,32,50,64,101,899,30:36,1
Colts,27.1,433,1070,6179,5.8,371,104,214,48.6,44,64,68.8,120,953,30:05,2
Saints,31.5,504,1010,6067,6,377,82,184,44.6,48,69,69.6,94,939,32:53,8
Ravens,24.3,389,1135,5999,5.3,367,104,231,45,33,59,55.9,116,940,33:54,-3
Panthers,23.5,376,1011,5972,5.9,356,77,185,41.6,36,58,62.1,92,818,31:44,1
Chargers,26.8,428,945,5962,6.3,338,70,177,39.5,34,53,64.2,113,967,31:43,1
Packers,23.5,376,1026,5905,5.8,332,75,204,36.8,29,47,61.7,108,937,30:03,0
Browns,22.4,359,1023,5900,5.8,314,73,208,35.1,32,48,66.7,112,894,29:29,7
Eagles,22.9,367,1037,5845,5.6,346,84,205,41,33,57,57.9,100,852,33:39,-6
Texans,25.1,402,1040,5802,5.6,333,77,208,37,30,60,50,105,787,31:46,13
49ers,21.4,342,1003,5769,5.8,344,73,193,37.8,21,51,41.2,112,982,30:55,-25
Giants,23.1,369,984,5697,5.8,297,76,206,36.9,27,54,50,114,951,29:57,2
Seahawks,26.8,428,1012,5653,5.6,329,81,208,38.9,36,55,65.5,111,959,31:28,15
Broncos,20.6,329,1015,5602,5.5,320,69,207,33.3,25,44,56.8,125,985,29:58,7
Vikings,22.5,360,1003,5529,5.5,310,73,204,35.8,27,50,54,92,779,30:34,0
Bears,26.3,421,1013,5502,5.4,331,82,200,41,36,54,66.7,97,796,32:22,12
Cowboys,21.2,339,1022,5501,5.4,322,90,216,41.7,24,50,48,104,885,32:32,3
Raiders,18.1,290,995,5379,5.4,300,73,197,37.1,23,43,53.5,110,965,31:59,-7
Lions,20.2,324,1019,5236,5.1,325,75,208,36.1,26,49,53.1,94,852,31:24,-5
Titans,19.4,310,938,4998,5.3,289,82,205,40,25,47,53.2,82,727,30:47,-1
Bengals,23,368,938,4972,5.3,304,69,187,36.9,32,45,71.1,114,957,27:27,1
Jaguars,15.3,245,1005,4832,4.8,277,93,230,40.4,15,34,44.1,121,1112,30:14,-12
Redskins,17.6,281,967,4795,5,280,75,206,36.4,21,40,52.5,115,1008,30:38,7
Jets,20.8,333,971,4787,4.9,258,69,214,32.2,20,45,44.4,114,948,29:10,-10
Bills,16.8,269,1008,4778,4.7,283,68,215,31.6,22,37,59.5,116,992,30:29,-5
Dolphins,19.9,319,878,4638,5.3,252,56,186,30.1,16,31,51.6,108,978,28:06,5
Cardinals,14.1,225,902,3865,4.3,239,58,199,29.1,18,28,64.3,101,786,27:33,-12
